word,lemma,lemma_log_freq,RE,word_log_freq,root_wholeSuffix_TP,root_firstSuffix_TP,mood_tense_TP,tense_person_TP,root_lastSuffix_TP
cenaba,cenar,4.392943042340061,0.5534615547595597,2.584331224367531,0.5882915392845368,0.6452213644390152,,0.97624971162829,0.8140843400383808
cenabas,cenar,4.392943042340061,0.5534615547595597,1.1760912590556813,0.2677228563448875,0.6452213644390152,,0.7217199903468794,0.6227257839065821
cenábamos,cenar,4.392943042340061,0.5534615547595597,2.0791812460476247,0.4733002968643256,0.6452213644390152,,0.7756824360345344,0.7148268594226737
cenaban,cenar,4.392943042340061,0.5534615547595597,2.2095150145426308,0.5029691924632039,0.6452213644390152,,0.9120103763423913,0.6788777373837638
cenaría,cenar,4.392943042340061,0.5534615547595597,1.4471580313422192,0.32942790684837514,0.952302857482527,0.7970511254410442,0.9801186517326936,0.8140843400383808
cenarías,cenar,4.392943042340061,0.5534615547595597,0.0,0.0,0.952302857482527,0.7970511254410442,0.7588480383651803,0.6227257839065821
cenaríamos,cenar,4.392943042340061,0.5534615547595597,1.255272505103306,0.28574750298484164,0.952302857482527,0.7970511254410442,0.8093677774324042,0.7148268594226737
cenarían,cenar,4.392943042340061,0.5534615547595597,1.0791812460476249,0.24566247175213993,0.952302857482527,0.7970511254410442,0.9005953426260963,0.6788777373837638
cenaré,cenar,4.392943042340061,0.5534615547595597,2.429752280002408,0.5531035245811228,0.952302857482527,,0.7156535719579533,0.6167323215583145
cenarás,cenar,4.392943042340061,0.5534615547595597,1.1139433523068367,0.2535756420173056,0.952302857482527,,0.6796042104226108,0.6227257839065821
cenará,cenar,4.392943042340061,0.5534615547595597,1.7708520116421442,0.40311290052575677,0.952302857482527,,0.846413247917702,0.40311290052575677
cenaremos,cenar,4.392943042340061,0.5534615547595597,2.0086001717619175,0.45723337461984565,0.952302857482527,,0.7220489182901982,0.7148268594226737
cenarán,cenar,4.392943042340061,0.5534615547595597,1.6334684555795864,0.37183920661749803,0.952302857482527,,0.7707207647920508,0.6788777373837638
bailaba,bailar,4.857778625427297,0.3810550986670515,3.3729120029701067,0.6943321758869612,0.7438853668650618,,0.97624971162829,0.8534581655144265
bailabas,bailar,4.857778625427297,0.3810550986670515,1.8750612633917,0.38599150104884966,0.7438853668650618,,0.7217199903468794,0.6499795506544911
bailábamos,bailar,4.857778625427297,0.3810550986670515,2.247973266361807,0.46275745349842323,0.7438853668650618,,0.7756824360345344,0.6729026075065845
bailaban,bailar,4.857778625427297,0.3810550986670515,3.1746411926604483,0.6535170573733591,0.7438853668650618,,0.9120103763423913,0.8019279131567263
bailaría,bailar,4.857778625427297,0.3810550986670515,1.9590413923210936,0.40327926473775316,0.9299625429656906,0.7970511254410442,0.9801186517326936,0.8534581655144265
bailarías,bailar,4.857778625427297,0.3810550986670515,0.9030899869919435,0.18590595756357803,0.9299625429656906,0.7970511254410442,0.7588480383651803,0.6499795506544911
bailaríamos,bailar,4.857778625427297,0.3810550986670515,0.9030899869919435,0.18590595756357803,0.9299625429656906,0.7970511254410442,0.8093677774324042,0.6729026075065845
bailarían,bailar,4.857778625427297,0.3810550986670515,1.6020599913279623,0.3297927128548479,0.9299625429656906,0.7970511254410442,0.9005953426260963,0.8019279131567263
bailaré,bailar,4.857778625427297,0.3810550986670515,1.8976270912904414,0.3906367987535709,0.9299625429656906,,0.7156535719579533,0.5543371007443476
bailarás,bailar,4.857778625427297,0.3810550986670515,1.7481880270062005,0.3598739592322257,0.9299625429656906,,0.6796042104226108,0.6499795506544911
bailará,bailar,4.857778625427297,0.3810550986670515,2.4082399653118496,0.4957492201695414,0.9299625429656906,,0.846413247917702,0.4957492201695414
bailaremos,bailar,4.857778625427297,0.3810550986670515,1.954242509439325,0.4022913887450824,0.9299625429656906,,0.7220489182901982,0.6729026075065845
bailarán,bailar,4.857778625427297,0.3810550986670515,2.225309281725863,0.4580919496985356,0.9299625429656906,,0.7707207647920508,0.8019279131567263
casaba,casar,5.014499537549868,0.821516429581696,2.8992731873176036,0.5781779748122613,0.6306839561637048,,0.97624971162829,0.882978850598962
casabas,casar,5.014499537549868,0.821516429581696,1.5797835966168101,0.31504312340383767,0.6306839561637048,,0.7217199903468794,0.7682072509079365
casábamos,casar,5.014499537549868,0.821516429581696,1.6127838567197355,0.32162409122641117,0.6306839561637048,,0.7756824360345344,0.6870971845676006
casaban,casar,5.014499537549868,0.821516429581696,2.7649229846498886,0.5513856296018039,0.6306839561637048,,0.9120103763423913,0.8047442579225775
casaría,casar,5.014499537549868,0.821516429581696,2.8808135922807914,0.5744967310712694,0.9326232284776612,0.7970511254410442,0.9801186517326936,0.882978850598962
casarías,casar,5.014499537549868,0.821516429581696,1.8692317197309762,0.37276535888251383,0.9326232284776612,0.7970511254410442,0.7588480383651803,0.7682072509079365
casaríamos,casar,5.014499537549868,0.821516429581696,1.591064607026499,0.3172928016270011,0.9326232284776612,0.7970511254410442,0.8093677774324042,0.6870971845676006
casarían,casar,5.014499537549868,0.821516429581696,2.1760912590556813,0.4339598085034304,0.9326232284776612,0.7970511254410442,0.9005953426260963,0.8047442579225775
casaré,casar,5.014499537549868,0.821516429581696,2.406540180433955,0.4799163231371666,0.9326232284776612,,0.7156535719579533,0.6840957040078004
casarás,casar,5.014499537549868,0.821516429581696,1.9912260756924949,0.3970936801931438,0.9326232284776612,,0.6796042104226108,0.7682072509079365
casará,casar,5.014499537549868,0.821516429581696,2.9809119377768436,0.5944585128495884,0.9326232284776612,,0.846413247917702,0.5944585128495884
casaremos,casar,5.014499537549868,0.821516429581696,2.2068258760318495,0.4400889579322058,0.9326232284776612,,0.7220489182901982,0.6870971845676006
casarán,casar,5.014499537549868,0.821516429581696,2.575187844927661,0.5135483263372523,0.9326232284776612,,0.7707207647920508,0.8047442579225775
besaba,besar,4.641682283985219,0.12982384757621981,3.09377178149873,0.6665195056914804,0.704129174292592,,0.97624971162829,0.8460207416455695
besabas,besar,4.641682283985219,0.12982384757621981,1.99563519459755,0.4299379131318211,0.704129174292592,,0.7217199903468794,0.6882831616340113
besábamos,besar,4.641682283985219,0.12982384757621981,2.0453229787866576,0.44064260620410245,0.704129174292592,,0.7756824360345344,0.6724353939343344
besaban,besar,4.641682283985219,0.12982384757621981,2.606381365110605,0.5615165376792741,0.704129174292592,,0.9120103763423913,0.7750134175873472
besaría,besar,4.641682283985219,0.12982384757621981,2.164352855784437,0.4662862995280634,0.9057845727888243,0.7970511254410442,0.9801186517326936,0.8460207416455695
besarías,besar,4.641682283985219,0.12982384757621981,1.3617278360175928,0.29336946234253053,0.9057845727888243,0.7970511254410442,0.7588480383651803,0.6882831616340113
besaríamos,besar,4.641682283985219,0.12982384757621981,0.6989700043360189,0.15058549068461935,0.9057845727888243,0.7970511254410442,0.8093677774324042,0.6724353939343344
besarían,besar,4.641682283985219,0.12982384757621981,0.9542425094393249,0.20558117748206559,0.9057845727888243,0.7970511254410442,0.9005953426260963,0.7750134175873472
