,target,avg_bigram_freq
201,nadaríamos,121036.22222222222
202,nadarían,99121.42857142857
203,nadaré,136482.0
204,nadarás,113875.83333333333
205,nadará,136510.2
206,nadaremos,134345.25
207,nadarán,113799.5
208,narraba,3540.1666666666665
209,narrabas,11112.714285714286
210,narrábamos,47110.88888888889
211,narraban,4543.571428571428
212,narraría,3439.0
213,narrarías,10077.625
214,narraríamos,43011.3
215,narrarían,4329.625
216,narraré,3866.1666666666665
217,narrarás,3434.5714285714284
218,narrará,3889.6666666666665
219,narraremos,46172.11111111111
220,narrarán,3369.1428571428573
221,obraba,2493.6
222,obrabas,11502.666666666666
223,obrábamos,51903.125
224,obraban,3838.6666666666665
225,obraría,2550.0
226,obrarías,10264.0
227,obraríamos,46815.555555555555
228,obrarían,3694.8571428571427
229,obraré,2884.8
230,obrarás,2544.8333333333335
231,obrará,2913.0
232,obraremos,50847.0
233,obrarán,2468.5
234,pactaba,9141.0
235,pactabas,15913.42857142857
236,pactábamos,50311.77777777778
237,pactaban,9344.285714285714
238,pactaría,8239.714285714286
239,pactarías,14278.25
240,pactaríamos,46371.8
241,pactarían,8530.25
242,pactaré,9467.0
243,pactarás,8235.285714285714
244,pactará,9490.5
245,pactaremos,49906.0
246,pactarán,8169.857142857143
247,plantaba,9083776.57142857
248,plantabas,7955373.0
249,plantábamos,6398439.6
250,plantaban,7949625.0
251,plantaría,7948658.5
252,plantarías,7071757.333333333
253,plantaríamos,5817755.2727272725
254,plantarían,7066648.0
255,plantaré,9084056.0
256,plantarás,7948654.625
257,plantará,9084076.142857144
258,plantaremos,6398074.4
259,plantarán,7948597.375
260,quemaba,5025.333333333333
261,quemabas,12385.714285714286
262,quemábamos,47902.88888888889
263,quemaban,5816.571428571428
264,quemaría,4712.0
265,quemarías,11191.5
266,quemaríamos,43902.4
267,quemarían,5443.5
268,quemaré,5351.333333333333
269,quemarás,4707.571428571428
270,quemará,5374.833333333333
271,quemaremos,47162.22222222222
272,quemarán,4642.142857142857
273,rayaba,686413.8
274,rayabas,581436.1666666666
275,rayábamos,54078.875
276,rayaban,573772.1666666666
277,rayaría,572483.5
278,rayarías,498778.4285714286
279,rayaríamos,426771.22222222225
280,rayarían,492209.28571428574
281,rayaré,686805.0
282,rayarás,572478.3333333334
283,rayará,686833.2
284,rayaremos,478297.125
285,rayarán,572402.0
286,retaba,11737.2
287,retabas,19205.666666666668
288,retábamos,57080.75
289,retaban,11541.666666666666
290,retaría,10253.0
291,retarías,16866.571428571428
292,retaríamos,51950.88888888889
293,retarían,10297.42857142857
294,retaré,12128.4
295,retarás,10247.833333333334
296,retará,12156.6
297,retaremos,56624.25
298,retarán,10171.5
299,rimaba,2074.8
300,rimabas,11153.666666666666
301,rimábamos,51418.5
302,rimaban,3489.6666666666665
303,rimaría,2201.0
304,rimarías,9964.857142857143
305,rimaríamos,46582.88888888889
306,rimarían,3395.714285714286
307,rimaré,2466.0
308,rimarás,2195.8333333333335
309,rimará,2494.2
310,rimaremos,50585.25
311,rimarán,2119.5
312,rondaba,119075.0
313,rondabas,110142.57142857143
314,rondábamos,52177.444444444445
315,rondaban,103573.42857142857
316,rondaría,102468.85714285714
317,rondarías,96728.75
318,rondaríamos,112332.2
319,rondarían,90980.75
320,rondaré,119401.0
321,rondarás,102464.42857142857
322,rondará,119424.5
323,rondaremos,123195.33333333333
324,rondarán,102399.0
325,rotaba,2554.2
326,rotabas,11553.166666666666
327,rotábamos,51341.375
328,rotaban,3889.1666666666665
329,rotaría,2600.5
330,rotarías,10307.285714285714
331,rotaríamos,46849.22222222222
332,rotarían,3738.1428571428573
333,rotaré,2945.4
334,rotarás,2595.3333333333335
335,rotará,2973.6
336,rotaremos,50884.875
337,rotarán,2519.0
338,sumaba,2152765.6
339,sumabas,1803396.0
340,sumábamos,1395600.25
341,sumaban,1795732.0
342,sumaría,1794443.3333333333
343,sumarías,1546172.5714285714
344,sumaríamos,1241411.111111111
345,sumarían,1539603.4285714286
346,sumaré,2153156.8
347,sumarás,1794438.1666666667
348,sumará,2153185.0
349,sumaremos,1394767.0
350,sumarán,1794361.8333333333
